ID,Date,Text
369,2020-06-01,"pojačane mjere prometu najveća brzina 182 km/h alkohol 2,34 g/kg prometna policija ovog vikenda području policijske uprave primorsko-goranske pojačano nadzirala promet cestama sprječavanja počinjenja prometnih prekršaja smanjenja mogućnosti nastanka prometnih nesreća onih najtežim posljedicama sveukupno zabilježeno 277 prometnih prekršaja 115 prekršaja prekoračenja brzine 35 prekršaja vožnje utjecajem alkohola nekorištenja sigurnosnog pojasa sedam prekršaja korištenja mobitela vožnji tri prekršaja upravljanja tehnički neispravnim neregistriranim vozilom dva prekršaja upravljanja vozilom vrijeme zabrane jedan prekršaj upravljanja vozilom stjecanja prava 79 različitih prometnih prekršaja najveća brzina izmjerena 31 svibnja 1320 sati vijadukta osojnik vozač osobnog vozila marke peugeot krapinskih registracijskih oznaka kretao smjeru zagreba brzinom 182 km/h mjestu ograničenje brzine 110 km/h najveća koncentracija alkohola izmjerena ponoći 30 svibnja 37-godišnjem vozaču osobnog vozila marke alfa romeo riječkih registracijskih oznaka zaustavljenom području kastva spomenuti najprije odbio upozorenja pristao provjeru alkoholiziranosti kojom utvrđena koncentracija alkohola 2,34 g/kg isključen prometa čemu vrijeđao omalovažavao policijske službenike postupanja pokušao napustiti događaja priveden službene prostorije policije podnijet optužni prijedlog prekršaja domene zakona sigurnosti prometa cestama vožnja utjecajem alkohola domene zakona prekršajima javnog reda mira vrijeđanje omalovažavanje službenih ovom razdoblju alkotestirano 95 vozača 35 utvrđena nedozvoljena koncentracija alkohola deset dobi 18 24 godine devet dobi 25 30 godine života preostalih 16 ostalim dobnim skupinama ovog razdoblja zatečena tri recidivista prometu prekršajima prekoračenja brzine vožnje utjecajem alkohola droga sudionici prometu utvrđeni prekršaji bit sankcionirani temeljem odredbi zakona sigurnosti prometa cestama inače vikenda prometnicama policijske uprave primorsko-goranske dogodilo 14 prometnih nesreća dvije osobe lakše ozlijeđene rijeka"
370,2020-06-01,masovno testiranje wuhanu moglo iskorijeniti koronavirus vlasti wuhana rekle pronašli nove slučajeve tihih širitelja virusa prvi dva mjeseca čini agresivni pritisak gradskih vlasti testiranje cjelokupnog stanovništva uspio razbiti skrivene lance prijenosa prenosi bloomberg 60000 testirani nedjelju pronađeni slučajevi asimptomatskih infekcija objavilo ponedjeljak općinsko zdravstveno povjerenstvo wuhana ambicioznom naporu zaštiti ponovnog izbijanja slučajeva wuhan testira cijelu populaciju 11 milijuna virus otkrivši 200 asimptomatskih slučajeva posljednja dva tjedna prisutnost zaraženih pokazuju vanjske znakove bolesnosti zaraziti druge prepreka naporima zaustavi koronavirus glavni razlog pandemija širila brzo zemljama ispitivanje dalje neadekvatno postoji način takvi nosači otkriju izoliraju zaraze druge identifikacija asimptomatskih nosioca virusa mogla rezultirati iskorijenjivanjem patogena opće gradske populacije metoda nedostupna druge zemlje veće kineske gradove zahtijeva ogromnu mobilizaciju resursa potpunu suradnju stanovnika stanovnici wuhana spremniji izaći testiranje obzirom ožiljke epidemija ostavila gradu tri mjeseca zatvoren spriječilo širenje virusa lokalni medicinski sustav urušio izbijanja epidemije 4600 smrti prijavljenih kini 80 wuhanu mnoge zemlje onih razvoju poput indije indonezije zapadnih država poput sad-a bore pružanje testova onima imaju simptome spominjemo nemaju procesa masovnog testiranja wuhan svakodnevno pronalazio desetaka asimptomatskih slučajeva broj smanjio jednoznamenkaste cifre testiranje privodilo kraju dnevnim podacima objavilo lokalno zdravstveno povjerenstvo svoju epidemiju stavila kontrolu kina dalje velikoj pripravnosti sporadičnih infekcija riskiraju sekundarnu epidemiju grad sjeveroistočnoj provinciji heilongjiang zaustavio većinu vlakova prošli tjedan jednom danu zabilježeno pet asimptomatskih slučajeva obližnjim provincijama jilin liaoning skupina 40 infekcija natjerala vlasti mjere zaključavanja regiji 100 milijuna klaster započeo ostaje misterija rijeka
371,2020-06-01,rijeka najsigurnijim europskim korona free destinacijama grad rijeka našao izboru portala european best destination europskim turističkim destinacijama najsigurnijim koronavirusa hrvatska sačuvana koronavirusa čak 20 puta zaraženih kojoj drugoj europskoj zemlji dobro opremljenim zdravstvom bolničkih kreveta stanovniku odnosu većinu europskih zemalja izabrana europska prijestolnica kulture nagrađena najboljim europskim destinacijama 2020 rijeka savršeno odredište siguran odmor gradskom ambijentu plaži ljeto top destinacija hrvati vole terase kavu opremljene osvježivačimam televizijom možete lijepo provesti možete odlučiti vožnju mnogih riječkih plaža oduševit kristalno čista voda hrvatske stoji opisu rijeka
372,2020-06-02,obersnel komadina neprimjeren premijerov pritisak pravosudni sustav riječki gradonačelnik vojko obersnel sdp reagirao poziv premijera andreja plenkovića policiji dorh-u istraže sdp-ove nabave rijeci kaže plenković skinuo masku uljuđenog europskog političara prenosi radio rijeka naime kraju konferencije novinare sjednice predsjedništva nacionalnog vijeća hdz-a ponedjeljak premijer predsjednik stranke andrej plenković tiče aktivnosti aludira koruptivnog karaktera očekujem tijela policija dorh procesuiraju vezani sdp nikakvih dilema plenković spominjući javne nabave europsku prijestolnicu kulture rijeci odbacio novinarsku tvrdnju napadu pravosuđe očekivanje očekujem iste aršine plenković premijerova izjava opasna obzira predizborni kontekst komentirao primorsko-goranski župan potpredsjednik sdp-a zlatko komadina izvješće konferencije novinare zagrebu p rijeka vojko obersnel zlatko komadina
373,2020-06-04,komadina neprimjereno premijer poziva javna tijela obračunavaju kim župan primorsko-goranske županije zlatko komadina obratio novinarima sjednica predsjedništva sdp-a središnjici stranke iblerovom trgu tijeku prenosi n1 dvije glavne teme sjednice predsjedništva sdp-a bile koalicije pravila unutastranačke izbore im slijede istaknuo župan zlatko komadina koalicije kraju ostalo otvoreno pitanje ids-a primorsko goranskog saveza pgs-a koalicijskim partnerima upućena ponuda ponudili im četiri visoka ulazna mjesta 8 izbornoj jedinici dodajući kasnije prva tri mjesta ids-ova četvrto pgs-ovo komentirajući drugu temu dnevnog reda sjednice istaknuo rade pravila nadolazećih izbora stranci sad radimo akte uvodimo rodni paritet izbornim listama stranačkim tijelima sdp prvi hrvatskoj smatra sdp složio fer ponudu svatko pregovorima traži bolju poziciju napomenuo dirati tiče ustroja reforme idu lokalnih izbora pokazat imamo jače liste hdz-a komadina komentirajući izjavu premijera andreja plenkovića pozvao dorh policiju istraže nezakonitosti projekta rijeka epk komadina neprimjereno predsjednik vlade poziva javna tijela organe obračunavaju kim postoje legalni načini podnosi prijava pritisak tijela smije raditi pritisak predsjednik vlade primjer predsjednik sabora predsjednik države rijeka zlatko komadina
374,2020-06-10,dvoje novozaraženih hrvatskoj jedan raba nacionalni stožer objavio imamo dvije novozaražene osobe jednu primorsko-goranske županije jednu grada zagreba broj novooboljelih republici hrvatskoj 24 satnom razdoblju 2 čime ukupan broj oboljelih koronavirusa 2249 testirano 69349 toga 234 posljednja 24 sata bolničkom liječenju 7 toga respiratoru 0 pacijenata ukupan broj ozdravljenih 2130 ukupan broj preminulih 106 stoji priopćenju zaraženi raba dugo ima koronu stožer primorsko-goranske županije izvijestio ranije jedan novi zaraženi raba epidemiolozi sumnjaju zarazio ožujku javili rabljaninu vratio austrije 17 ožujka povratka posao austriju testirao nalaz pozitivan najvjerojatnije staroj zarazi dogodila boravio austriji 17 ožujka smatraju epidemiolozi stoji priopćenju županije cijelo vrijeme simptoma poznatim podacima zarazila naime testirani kontakti obitelj negativni rezultatima njegovog serološkog testa županijski stožer civilne zaštite naknadno obavijestiti javnost test utvrditi infekciji starijeg datuma rekli županijskog stožera imaju slučajeve pozitivna 60 zadnji slučaj zaraze koronavirusom primorsko-goranskoj županiji zabilježen 10 svibnja cijelom području pgž-a tri osobe vode aktivni slučajevi rijeka
375,2020-06-16,bbc pronađen lijek koronavirus cijena 40 kuna deksametazon steroidni lijek usporava proces upale mogao učinkovit liječenju ozbiljnih slučajeva covida-19 objavio bbc pozivajući preliminarne rezultate kliničkog pokusa recovery riječ kliničkom pokusu počeo ožujku sklopu koga znanstvenici sveučilišta oxford ispituju učinkovitost postojećih lijekova borbi koronavirusom deksametazon jeftin široko dostupan lijek spada sintetske kortikosteroide koristi liječenju reumatskih alergijskih kožnih bolesti bolesti očiju probavnih organa dišnih organa krvi bubrega nekih oblika raka reakcija odbacivanja presađivanja organa itd pokazalo liječenje niskim dozama deksametazona pomaže težih slučajeva covida-19 ublažava citokinsku oluju pretjeranu imunološku reakciju organizma znanstvenici sklopu kliničkog pokusa recovery spoznali liječenje deksametazonom može smanjiti trećinu smrtnost pacijenata respiratorima onih morali primati kisik lijek smanjio smrtnost petinu znanstvenici procjenjuju korištenjem deksametazona liječenju ozbiljnijih slučajeva covida početka pandemije velikoj britaniji moglo spasiti 5000 života jedini lijek pokazalo smanjuje smrtnost značajno bbc prof peter horby oxforda vodio klinički pokus deksametazonom klinički pokus uključeno 2000 pacijenta bolnicama primali deksametazon 4000 oboljelih primali lijek pacijenata respiratorima lijek smanjio rizik smrti 40 posto 28 posto onih primali kisik rizik smrti smanjen 25 20 posto deksametazon učinkovit lijek blažih slučajeva covida-19 postoji jasna jasna korist liječenje deksametazonom traje 10 košta pet funti 42 kune pacijentu dakle košta 35 funti 300 kuna spasio život lijek dostupan globalnoj razini prof martin landray vodeći znanstvenik studiji rijeka
376,2020-06-17,riječki aerodrom sletio prvi avion korona krize indexhr odaberite boju pretražite naslovnica vijesti sport magazin oglasi dostave auto mame ljubimci fit ostalo info pošaljite priču pošaljite foto reklamirajte kontakt impressum uvjeti korištenja © 2020 index rijeka dočekala prvi međunarodni let koronakrize hina sat vremena 0 ilustracija goran kovačić/pixsell zračna luka rijeka dočekala srijedu prvi međunarodni let javnom zračnom prijevozu proglašenja pandemije koronavirusa airbalticov let rige 3 mjeseca redovitih aviolinija većina aerodroma regiji iščekuje prvi međunarodni let javnom zračnom prijevozu zračna luka rijeka dočekala prvi međunarodni let proglašenja pandemije priopćili riječke zračne luke navode riječ letu latvijskog avioprijevoznika airbaltic rige zračnu luku rijeka sletio 17 sati 40 minuta dolaznom letu 115 putnika 80 posto kapaciteta zrakoplova a220-300 odlaznom letu rijeke rigu sjedilo 15 putnika službeno počela ljetna sezona letenja zračne luke ističu dolaskom prvog međunarodnog leta koronakrize službeno započela ljetna sezona letenja zračnoj luci trebala službeno započeti 29 ožujka proglašenja pandemije letovi odgođeni otkazani
377,2020-06-17,ratno stanje pekingu širi soj virusa opasniji onog wuhanu najnovijeg otkrića izbijanja epidemije covida-19 pekinškoj tržnici vlasti izvijestile ukupno 137 slučajeva zaraze uključujući 31 novih pekinške vlasti opisale stanje gradu izuzetno ozbiljno kineskom glavnom gradu ponedjeljak navečer postavljene sigurnosne kontrolne točke stambenim naseljima visokorizičnim ljudima bliski kontakti dijagnosticiranim virusom zabranjeno napuste grad yang zhanqiu zamjenik ravnatelja odjela biologiju patogena sveučilištu wuhanu državnim medijima vjeruje novo izbijanje uključuje soj virusa opasniji onoga pogodio wuhan početku epidemije prosincu 2019 godine pet glavni grad kine pojačao mjere sprečavanja širenja koronavirusa zatvarajući potpunosti 29 stambenih četvrti stavljajući četiri velika okruga mjere ratnog stanja dezinficirajući 276 tržnica testirajući 200000 posjetili tržnicu 30 svibnja nedjelju peking testirao 76499 pronašao 59 pozitivnih slučajeva ponedjeljka prekinuli nastavu školama ponovno zatvorili mjesta zabavu sportske aktivnosti nove mjere dovode pitanja život vratiti normalno stanje karantena epidemijska situacija glavnom gradu izuzetno teška trenutačno moramo poduzeti stroge mjere zaustavimo širenje covida-19 upozorio glasnogovornik grada pekinga xu hejian konferenciji novinare slučajevi povezani veletržnicom hrane xinfadi jugozapadu pekinga dnevno prodaje tisuće tona hrane 30 svibnja posjetilo 200000 8000 radnika tržnice testirano naređena im obvezna karantena pokrajine pekinga yunnan ponovno uvele pravila zahtijevaju 14-dnevnu karantenu ljude vraćaju pekinga vlasti šangaju najavile dolaze područja srednjeg visokog rizika moraju proći karantenu lani otkriven prvi slučaj virusa wuhanu kina prijavila 84000 slučajeva 4600 umrlo globalno zabilježeno osam milijuna slučajeva 436000 zaraženih umrlo sad najteže pogođena zemlja dva milijuna slučajeva direktor svjetske zdravstvene organizacije who mike ryan klaster virusa zabrinjava treba istražiti kontrolirati upravo čine kineske vlasti zataškavanje mnogi trenutačno spekuliraju porijeklu epidemije spominje ostalim potječe uvezenog lososa državni mediji izvijestili virus otkriven daskama sjeckanje koriste losos tržnici xinfadi stručnjaci ranije ponedjeljak potvrdili riba može prenijeti bolest kakva veza lososom možda rezultat unakrsne kontaminacije novi val epidemije predstavlja najznačajnije izbijanje veljače izaziva strah drugog vala kineski dužnosnici državni mediji brane sličnih komentara trojica dužnosnika smijenjena epidemije uključujući šefa tržnice xinfadi šefa lokalnog odjeljka komunističke partije zamjenika šefa okruga izvijestio global times prethodno otpuštanje službenika izbijanja epidemije potaknulo sumnje moglo zataškati epidemiju peking novi wuhan pitaju mnogi wang guangfa respiratorni stručnjak sveučilišne bolnice pekingu prerano suditi razmjeru ovog kruga epidemije otkrije izvor infekcije wu zunyou glavni kineski epidemiolog vjeruje sljedeća tri utorka kritična presudna glavni grad naporima pokušava suzbiti epidemiju uvjerava situacija razlikuje wuhanske peking pregledao velik broj potencijalnih pacijenata poduzeo hitne mjere usporedbi početnom fazom izbijanja wuhanu jasno razumijemo virus svjesniji važnosti prevencije kontrole iskustvo stečeno ranim danima prevencije kontrole koristi ovoj fazi wu rijeka
378,2020-06-17,tri nova slučaja korone hrvatskoj imamo tri nova slučaja koronavirusa hrvatskoj time ukupan broj oboljelih 2258 javlja stožer novooboljela splitsko-dalmatinske županije dvije grada zagreba testirano 70712 toga 186 posljednja 24 sata rijeka
