Date,Covid-19,All
2020-01-01,0,5
2020-01-02,0,10
2020-01-03,0,7
2020-01-04,0,1
2020-01-05,0,10
2020-01-06,0,2
2020-01-07,0,12
2020-01-08,0,10
2020-01-09,0,5
2020-01-10,0,7
2020-01-11,0,3
2020-01-12,0,6
2020-01-13,1,9
2020-01-14,0,5
2020-01-15,0,7
2020-01-16,0,6
2020-01-17,0,5
2020-01-18,0,5
2020-01-19,0,5
2020-01-20,0,12
2020-01-21,0,7
2020-01-22,0,9
2020-01-23,0,7
2020-01-24,0,2
2020-01-25,0,6
2020-01-26,0,6
2020-01-27,0,9
2020-01-28,0,7
2020-01-29,1,11
2020-01-30,1,7
2020-01-31,0,8
2020-02-01,0,8
2020-02-02,0,11
2020-02-03,1,9
2020-02-04,0,11
2020-02-05,0,13
2020-02-06,0,13
2020-02-07,0,10
2020-02-08,0,9
2020-02-09,0,7
2020-02-10,0,12
2020-02-11,0,7
2020-02-12,1,12
2020-02-13,0,7
2020-02-14,0,12
2020-02-15,0,9
2020-02-16,0,4
2020-02-17,0,12
2020-02-18,0,12
2020-02-19,0,12
2020-02-20,0,10
2020-02-21,0,12
2020-02-22,1,10
2020-02-23,4,9
2020-02-24,3,9
2020-02-25,7,14
2020-02-26,3,8
2020-02-27,1,9
2020-02-28,2,11
2020-02-29,1,6
2020-03-01,1,6
2020-03-02,3,16
2020-03-03,2,9
2020-03-04,0,5
2020-03-05,0,11
2020-03-06,2,10
2020-03-07,1,5
2020-03-08,2,7
2020-03-09,5,12
2020-03-10,3,6
2020-03-11,4,14
2020-03-12,2,11
2020-03-13,4,13
2020-03-14,4,9
2020-03-15,4,15
2020-03-16,7,20
2020-03-17,8,15
2020-03-18,10,21
2020-03-19,9,17
2020-03-20,7,18
2020-03-21,6,17
2020-03-22,5,20
2020-03-23,8,19
2020-03-24,6,17
2020-03-25,9,16
2020-03-26,8,20
2020-03-27,8,24
2020-03-28,7,17
2020-03-29,2,15
2020-03-30,5,15
2020-03-31,9,16
2020-04-01,7,18
2020-04-02,9,20
2020-04-03,8,16
2020-04-04,8,14
2020-04-05,4,16
2020-04-06,6,24
2020-04-07,6,12
2020-04-08,2,19
2020-04-09,12,22
2020-04-10,4,17
2020-04-11,4,9
2020-04-12,3,8
2020-04-13,5,10
2020-04-14,6,16
2020-04-15,4,15
2020-04-16,8,12
2020-04-17,4,16
2020-04-18,2,15
2020-04-19,3,11
2020-04-20,4,19
2020-04-21,2,17
2020-04-22,3,13
2020-04-23,4,11
2020-04-24,1,20
2020-04-25,3,12
2020-04-26,1,8
2020-04-27,2,16
2020-04-28,3,14
2020-04-29,6,17
2020-04-30,5,18
2020-05-01,5,11
2020-05-02,4,13
2020-05-03,6,11
2020-05-04,0,15
2020-05-05,3,12
2020-05-06,4,9
2020-05-07,1,16
2020-05-08,3,12
2020-05-09,3,15
2020-05-10,1,11
2020-05-11,4,11
2020-05-12,0,7
2020-05-13,2,14
2020-05-14,4,13
2020-05-15,2,14
2020-05-16,2,11
2020-05-17,1,6
2020-05-18,2,8
2020-05-19,1,10
2020-05-20,1,8
2020-05-21,0,11
2020-05-22,0,12
2020-05-23,2,10
2020-05-24,0,8
2020-05-25,0,14
2020-05-26,0,14
2020-05-27,0,5
2020-05-28,0,13
2020-05-29,0,10
2020-05-30,0,4
2020-05-31,1,9
2020-06-01,3,16
2020-06-02,1,8
2020-06-03,0,11
2020-06-04,1,9
2020-06-05,0,10
2020-06-06,0,5
2020-06-07,0,5
2020-06-08,0,14
2020-06-09,0,9
2020-06-10,1,4
2020-06-11,0,4
2020-06-12,0,15
2020-06-13,0,3
2020-06-14,0,8
2020-06-15,0,8
2020-06-16,1,14
2020-06-17,3,13
2020-06-18,0,7
2020-06-19,0,9
2020-06-20,1,10
2020-06-21,1,6
2020-06-22,1,7
2020-06-23,1,8
2020-06-24,2,8
2020-06-25,2,9
2020-06-26,1,14
2020-06-27,1,6
2020-06-28,2,7
2020-06-29,0,10
2020-06-30,2,9
2020-07-01,1,8
2020-07-02,0,10
2020-07-03,1,9
2020-07-04,2,8
2020-07-05,2,8
2020-07-06,1,7
2020-07-07,1,6
2020-07-08,2,3
2020-07-09,2,6
2020-07-10,2,13
2020-07-11,1,8
2020-07-12,3,7
2020-07-13,2,9
2020-07-14,3,11
2020-07-15,2,8
